title,date,link,# of indications
A stem cell pioneer sent an experiment into space. Patients are the next frontier � Endpoints News,"January 25, 2023 06:05 AM ESTUpdated 04:36 PM",https://endpts.com/a-stem-cell-pioneer-sent-an-experiment-into-space-patients-are-the-next-frontier/,0
Urovant taps celebrity advocate and patient Holly Robinson Peete for overactive bladder education � Endpoints News,"January 19, 2023 02:37 PM ESTUpdated 03:09 PM",https://endpts.com/urovant-taps-celebrity-advocate-and-patient-holly-robinson-peete-for-overactive-bladder-education/,1
Ipsen has go/no-go decision to make after biotech partner�s Parkinson�s drug flunks PhIIb � Endpoints News,"January 19, 2023 07:10 AM EST",https://endpts.com/ipsen-has-go-no-go-decision-to-make-after-biotech-partners-parkinsons-drug-flunks-phiib/,1
Ex-US Commerce Secretary Wilbur Ross pairs his SPAC with Alzheimer�s biotech � Endpoints News,"January 18, 2023 09:51 AM ESTUpdated 11:19 AM",https://endpts.com/ex-us-commerce-secretary-wilbur-ross-pairs-his-spac-with-alzheimers-biotech/,0
Exclusive: Cell therapy biotech brings on Loxo vet amid global expansion plans; Retirement beckons for Vir�s George Scangos � Endpoints News,"January 27, 2023 07:01 AM ESTUpdated 07:20 AM",https://endpts.com/exclusive-cell-therapy-biotech-brings-on-loxo-vet-amid-global-expansion-plans-retirement-beckons-for-virs-george-scangos/,0
An Alzheimer�s rejection; Our #JPM23 dispatches; Count Moderna in for RSV; Biotech layoffs persist; and more � Endpoints News,"January 21, 2023 06:00 AM EST",https://endpts.com/an-alzheimers-rejection-our-jpm23-dispatches-count-moderna-in-for-rsv-biotech-layoffs-persist-and-more/,0
�Perfect time�: SIGA�s CEO on retirement; Juvenescence woos GSK vet to lead anti-aging play � Endpoints News,"January 20, 2023 06:41 AM EST",https://endpts.com/biopharma-jobs-report-perfect-time-sigas-ceo-on-retirement-juvenescence-woos-gsk-vet-to-lead-anti-aging-play/,0
"FDA accepts one, delays another; Data, deals and dollars for slate of biotechs � Endpoints News","January 9, 2023 02:24 PM EST",https://endpts.com/fda-accepts-one-delays-another-data-deals-and-dollars-for-slate-of-biotechs/,2
"�Sorry, Escape Bio closed�: A neurodegenerative upstart exits bid to rival Biogen-Denali � Endpoints News","January 4, 2023 11:07 AM ESTUpdated 03:53 PM",https://endpts.com/sorry-escape-bio-closed-a-neurodegenerative-upstart-exits-bid-to-rival-biogen-denali/,1
Latest news on Covid boosters safety signal; AstraZeneca leads trio of M&A; The biggest news out of #JPM23; and more � Endpoints News,"January 16, 2023 08:59 AM EST",https://endpts.com/latest-news-on-covid-boosters-safety-signal-astrazeneca-leads-trio-of-m-the-biggest-news-out-of-jpm23-and-more/,0
